General Name,Specific Card Name,Tags,Rules Text,Card Type,Card Functionality Type,Mana Cost,Flavor Text
Greed Damage Spell,Blast of Coin,Greed,Deal 2 maybe 1?,"Repeat, Spell",Damage,40,
Gluttony Damage Spell,Cream Pie Hurl,Gluttony,Deal 2,"Repeat, Spell",Damage,40,
Pride Damage Spell,Sound Wave,Pride,Deal 2,"Repeat, Spell",Damage,40,
Lust Damage Spell,Tart Waft,Lust,Deal 2,"Repeat, Spell",Damage,40,
Envy Damage Spell,Jealous Glare,Envy,Deal 2,"Repeat, Spell",Damage,40,
Wrath Damage Spell,Firey Spark,Wrath,Deal 3,"Repeat, Spell",Damage,40,
Sloth Damage Spell,Sticky Webs,Sloth,Deal 1,"Repeat, Spell",Damage,40,
Greed Shield Spell,Harden,Greed,Shield 1,"Repeat, Spell",Shielding,40,
Gluttony Shield Spell,"Absorb Blow ",Gluttony,Shield 1,"Repeat, Spell",Shielding,40,
Pride Shield Spell,Turn Cheek,Pride,Shield 1,"Repeat, Spell",Shielding,40,
Lust Shield Spell,Make Eyes,Lust,Shield 1,"Repeat, Spell",Shielding,40,
Envy Shield Spell,Slithery Evade,Envy,Shield 1,"Repeat, Spell",Shielding,40,
Wrath Shield Spell,Only a Nick,Wrath,Shield 1,"Repeat, Spell",Shielding,40,
Sloth Shield Spell,"Delay ",Sloth,Shield 2,"Repeat, Spell",Shielding,40,
Greed Shield Spell II,Gather Up,Greed,Shield 6. Gain 5 max Mana,"Repeat, Spell","Mana Addition, Shielding",100,
Gluttony Shield Spell II,Hardened Growth,Gluttony,Shield 3. Gain 2 Current and Max HP,"Repeat, Spell",Shielding,120,
Pride Shield Spell II,Open cheek,Pride,"Shield 0 two times. If your opponent has not dealt damage to you this turn, shield 12","Repeat, Spell",Shielding,100,
Lust Shield Spell II,Bait and Block,Lust,Shield 1. Stop the next instance of damage your opponent would do to you this turn,"Repeat, Spell",Shielding,100,
Envy Shield Spell II,Seize Fortifications,Envy,Steal half of your opponent’s shield (rounded down),"Repeat, Spell",Shielding,100,
Wrath Shield Spell II,"Relentless Offense ",Wrath,Lose 3 health. Shield 10,"Repeat, Spell",Shielding,100,Those who cannot gain ground cannot counter attack
Sloth Shield Spell II,Hunker Down,Sloth,"Shield 5. At the beginning of your next turn, shield 10","Repeat, Spell",Shielding,100,
